state,date,crop_type,planted_area,production,year,hist_mean_temp,yield
Selangor,2020-01-01,coconut,10239.1,105129.1,2020,28.35,10.267416081491538
Selangor,2021-01-01,coconut,9119.7,107558.9,2021,28.0,11.794126999791658
Selangor,2022-01-01,coconut,9526.4,110783.8,2022,28.05,11.629135875041989
Selangor,2017-01-01,flower,289.5,65598764.0,2017,28.1,226593.31260794474
Selangor,2018-01-01,flower,294.7,66779541.0,2018,28.25,226601.76789955888
Selangor,2019-01-01,flower,300.3,68048353.0,2019,28.5,226601.24209124208
Selangor,2020-01-01,flower,291.9,51852845.0,2020,28.35,177639.07159986297
Selangor,2021-01-01,flower,267.3,46579410.0,2021,28.0,174258.92255892255
Selangor,2022-01-01,flower,270.5,47324681.0,2022,28.05,174952.6099815157
Selangor,2017-01-01,fruits,2055.1,19392.2,2017,28.1,9.436134494671792
Selangor,2018-01-01,fruits,2019.0,33180.1,2018,28.25,16.43392768697375
Selangor,2019-01-01,fruits,2038.2,29414.3,2019,28.5,14.431508193504072
Selangor,2020-01-01,fruits,2096.1,33288.1,2020,28.35,15.88096941939793
Selangor,2021-01-01,fruits,5288.1,35605.4,2021,28.0,6.733117754959248
Selangor,2022-01-01,fruits,1971.6,41376.1,2022,28.05,20.98605193751268
Selangor,2017-01-01,herbs,85.8,1206.6,2017,28.1,14.062937062937062
Selangor,2018-01-01,herbs,91.2,668.8,2018,28.25,7.333333333333333
Selangor,2019-01-01,herbs,91.9,710.6,2019,28.5,7.732317736670294
Selangor,2020-01-01,herbs,88.3,496.7,2020,28.35,5.625141562853907
Selangor,2021-01-01,herbs,82.7,513.2,2021,28.0,6.205562273276905
Selangor,2022-01-01,herbs,82.8,758.2,2022,28.05,9.157004830917876
Selangor,2017-01-01,industrial_crops,9101.4,105262.3,2017,28.1,11.565506405607929
Selangor,2018-01-01,industrial_crops,10144.9,96713.3,2018,28.25,9.53319401866948
Selangor,2019-01-01,industrial_crops,15351.1,103500.1,2019,28.5,6.742194370435995
Selangor,2020-01-01,industrial_crops,10522.2,108042.6,2020,28.35,10.268061812168558
Selangor,2021-01-01,industrial_crops,9398.3,111953.0,2021,28.0,11.912047923560644
Selangor,2022-01-01,industrial_crops,9596.9,114565.9,2022,28.05,11.937802832164554
Selangor,2017-01-01,paddy,36708.0,165571.0,2017,28.1,4.51048817696415
Selangor,2018-01-01,paddy,36868.0,174432.0,2018,28.25,4.731257459043072
Selangor,2019-01-01,paddy,36602.0,174088.0,2019,28.5,4.756242828260751
Selangor,2020-01-01,paddy,36004.0,159535.0,2020,28.35,4.43103544050661
Selangor,2021-01-01,paddy,35885.0,155631.0,2021,28.0,4.336937439041383
Selangor,2022-01-01,paddy,35539.0,153492.0,2022,28.05,4.318973522046202
